,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/05/20 09:00:00+00,,26.700000,56.400000,103.300000,134.500000,19.800000,2.700000,5.100000,142.400000,123.400000,,4.100000,,130.500000,5.800000,9,2.900000,,7.500000,5.200000,3.300000,4.800000,7.400000,4,6.200000,3.600000,11.200000,12.300000,7.100000,,2,0.800000,5.200000,9.700000,22.700000,3.200000,7.900000,6.700000,33.900000,6.400000,3349
2019/05/20 10:00:00+00,,23.900000,31.100000,,134.700000,21.800000,3.200000,3.100000,96.200000,111.900000,,4.200000,,89.400000,7.100000,5.700000,2.700000,,5.900000,4.200000,2.900000,5.500000,9.500000,4.100000,5.700000,3.100000,12.100000,16.700000,4.300000,,2.600000,1.400000,4.700000,7,16,2.800000,6.900000,5.500000,20,4.700000,3350
2019/05/20 11:00:00+00,,31.100000,11.800000,,104.600000,13.200000,4.200000,2.600000,84.700000,110.700000,,2.500000,,91.500000,3.700000,3.700000,2.700000,34.100000,4.500000,2.800000,2,3.200000,7.300000,6.600000,3.800000,2.700000,10.700000,12,4,,3,0.700000,3.600000,3.600000,18.200000,2.600000,4.100000,6.300000,17.600000,4,3351
2019/05/20 12:00:00+00,,25.700000,16,67.300000,84.800000,13,2.900000,1.700000,65.500000,82.200000,,2.100000,,87.400000,2,3.400000,2.400000,18,3.800000,2.900000,1.700000,1.700000,6,5,3.300000,1.600000,6.100000,5.800000,2.400000,,1.500000,0.300000,2.800000,3.400000,14.200000,2.200000,2.400000,4.200000,13.900000,3.800000,3352
2019/05/20 13:00:00+00,,40,12.200000,65.100000,57,5,3.300000,1.700000,71.300000,105.400000,,0.900000,,89,1.400000,2.500000,1.800000,29.400000,1.900000,2.600000,1.400000,1.500000,12.200000,3.200000,3.900000,1.600000,5.900000,5.300000,1.900000,,1.200000,0.100000,2.700000,2.900000,10.500000,1.700000,1.500000,3.800000,16.800000,3.500000,3353
2019/05/20 14:00:00+00,,26.300000,10.200000,63.700000,94.500000,11,2,1.700000,89.200000,101.700000,,1,,73.200000,1.300000,1.900000,1.300000,23.700000,1.400000,1.600000,1.400000,1.400000,2.600000,1.800000,2.600000,1.500000,6.300000,5.900000,1.600000,,0.500000,0,3.600000,2.200000,18.500000,1.500000,1.800000,3,17.600000,2.300000,3354
2019/05/20 15:00:00+00,,26.800000,16.200000,86.100000,153.200000,21.200000,2.100000,0.900000,79.600000,75.200000,,1.200000,,112.800000,2.100000,2.100000,1.300000,25.400000,1.500000,1.800000,2.300000,1.500000,4.900000,2.400000,4.300000,1.100000,5.700000,4,1.100000,6,0.200000,0,3.400000,3,9.600000,1.600000,1.800000,3.400000,18.300000,2.100000,3355
2019/05/20 16:00:00+00,,62.400000,15.200000,79.400000,121.100000,11.400000,2,1.100000,73.900000,88.600000,,1.500000,,88.200000,1.700000,2.300000,1.300000,31.500000,2.600000,1.600000,2.300000,1.300000,7.200000,1.700000,2.600000,1.300000,4.100000,5.300000,1.500000,4.800000,0.300000,0.900000,2.200000,2.400000,7.500000,2.100000,1.500000,4.200000,16.500000,1.700000,3356
2019/05/20 17:00:00+00,,42.600000,17.500000,78.300000,84.200000,12.400000,1.100000,1.500000,49.200000,87.200000,,1.200000,,75.300000,1.200000,2.300000,1.200000,25.200000,2.200000,1.300000,1.600000,1.200000,6.200000,1.100000,1.800000,1.300000,5.100000,3.900000,1.200000,4.400000,0.400000,0.200000,1.300000,2.500000,6,1.800000,1.300000,3.500000,14.100000,2.400000,3357
2019/05/20 18:00:00+00,,26.700000,9.500000,66.900000,74.700000,18.600000,0.900000,0.300000,65,44.600000,,1.200000,,67,1.200000,1,1,22.200000,2,1.900000,1.200000,0.300000,6.400000,0.400000,2.100000,1.400000,5.100000,4.900000,1,4.200000,0.400000,0.700000,1.200000,2.300000,11,1.700000,1.300000,2.700000,9.200000,1.300000,3358
2019/05/20 19:00:00+00,,33.600000,5.500000,41.300000,78.500000,27.500000,0.800000,0.200000,82.700000,51.900000,,0.800000,,60.400000,1.700000,1.500000,1,14.900000,1.100000,1,1.400000,0,6.900000,0.500000,1.100000,1,5.700000,3,0.600000,4.900000,0.200000,0,0.800000,1.800000,1.900000,0.900000,1,2,9.800000,1.100000,3359
2019/05/20 20:00:00+00,,14.800000,4,34.800000,67.200000,17.500000,0.400000,0.100000,71.700000,42.700000,,0.100000,,49.300000,0.100000,0.500000,0.800000,30.200000,1.100000,0.400000,0.900000,0,2.100000,0.600000,0.600000,0.600000,1.500000,1.500000,0.200000,2.600000,0.100000,1.400000,1.200000,1.400000,0.400000,0.800000,0.600000,1.500000,9.100000,0.300000,3360
2019/05/20 21:00:00+00,,15.200000,2.500000,30.700000,71.200000,9.200000,0.400000,0,19.400000,45.100000,,0.300000,,38,0.400000,0.500000,0.900000,27.300000,0.600000,0.100000,0.800000,0,1.300000,0.600000,1,0.700000,3.500000,1.200000,0.200000,2,0.100000,1.200000,0.700000,1.100000,0.200000,0.700000,0.500000,0.300000,7.800000,0.100000,3361
2019/05/20 22:00:00+00,,9.100000,2.900000,28.800000,23.500000,11,0.100000,0,8.900000,52.600000,,0.100000,,34.800000,1,0,0.300000,21.100000,0.600000,0.800000,0.600000,0,2.700000,0.500000,0.800000,0.800000,2.900000,1.600000,0.100000,2.100000,0.100000,0.100000,0.600000,1.300000,2.100000,0.500000,0.900000,0.800000,4.100000,0.300000,3362
2019/05/20 23:00:00+00,,12.700000,0.900000,15.100000,17.700000,14,0,0.100000,9.300000,36.500000,,0.400000,,22,0.500000,0,0.400000,12.400000,0.700000,0.600000,0.700000,0,3.900000,0.300000,0.400000,0.800000,0.900000,1.100000,0.400000,0.800000,0.100000,0,0.700000,0.800000,0.300000,0.600000,1.200000,0.600000,3.300000,0,3363
2019/05/21 00:00:00+00,,7.400000,0.600000,10.700000,10.100000,8.100000,0.200000,0.100000,7.600000,26.500000,,0.600000,,8.600000,0,0,0.800000,3.900000,0.700000,0.200000,0.600000,0,1,0.300000,0.300000,1.100000,0.200000,1.100000,0.300000,0.100000,0.100000,0,0,0.800000,0,0.400000,0.400000,0.300000,1.900000,0,3364
2019/05/21 01:00:00+00,,3.800000,0.900000,5.400000,20.100000,5.700000,0.200000,0,29.300000,35.100000,,0.200000,,3.600000,0,0,0.700000,6.700000,0.700000,0.100000,0.400000,0,0.900000,0.300000,0.300000,0.900000,0.200000,1.600000,0.100000,0.100000,0.100000,0.100000,0.300000,1,0.100000,0.300000,0,0.100000,2.700000,0.100000,3365
2019/05/21 02:00:00+00,,11.700000,0.500000,3.500000,26,4.300000,1.700000,0,32.700000,65.300000,,0.400000,,1.500000,0,1,0.400000,1.700000,1.200000,0,0.400000,0,4.800000,0.600000,0.600000,0.700000,0.200000,0.800000,0.100000,0.100000,0.100000,1.600000,0.700000,0.900000,0.200000,0.300000,0.500000,0.400000,4.200000,0.400000,3366
2019/05/21 03:00:00+00,,10.800000,0,3.200000,85.400000,5.500000,4.200000,0,8.900000,82.900000,,0.300000,,3.800000,0,0.500000,0.200000,4.400000,0.600000,0.200000,0.800000,0,5,0.500000,0.700000,0.700000,0.300000,0.700000,0.100000,0.100000,0.100000,0,0.800000,1.100000,0.200000,0.700000,1.600000,0.900000,3.500000,0.600000,3367
2019/05/21 04:00:00+00,,35.300000,2,8.600000,240.600000,13.300000,10,0.300000,153.200000,137.900000,,0.600000,,37.100000,0,0.400000,0.500000,54.900000,1.100000,0.700000,7.100000,0.600000,45.100000,0.900000,1.400000,0.600000,0.300000,1,0.300000,0.500000,0.100000,0.500000,1.100000,1.200000,2.500000,0.800000,0.500000,0.900000,18.100000,0,3368
2019/05/21 05:00:00+00,,86.100000,13,28.900000,299.100000,6.200000,26.900000,5.500000,323.700000,313.200000,,1.800000,,84.100000,19.500000,2.800000,1.300000,31.400000,9.200000,1.900000,21.800000,3.300000,35.500000,9.800000,5,3.600000,1,4,0.600000,3.500000,0.200000,0.600000,8.500000,5.300000,10.700000,3.200000,8.300000,4.200000,32.700000,1.800000,3369
2019/05/21 06:00:00+00,,99.400000,45.600000,69.100000,263.400000,7.500000,26.800000,11.200000,242,276.100000,,8.900000,,167,15.600000,6.200000,2,40.800000,11.800000,14,9.800000,7.500000,32.600000,22.100000,13.200000,5.100000,4.800000,16.100000,3.200000,12.500000,0.500000,1.600000,16,29.200000,33.600000,8.800000,17.500000,9.400000,62.500000,5.900000,3370
2019/05/21 07:00:00+00,,51.200000,73,105.800000,176.700000,11.600000,21.700000,23,96.500000,222.400000,,16.400000,,218.600000,15.500000,12.300000,4.200000,39.200000,18.100000,15.900000,18.100000,16.600000,18.800000,16.400000,16.100000,6.100000,17.900000,19.100000,13.400000,23.700000,1.400000,3.600000,18.400000,22.100000,47.500000,9.200000,22.700000,16,57.700000,13.100000,3371
2019/05/21 08:00:00+00,,71.100000,82.500000,107.400000,146.500000,27,13.500000,20.500000,105.600000,213.700000,,10.800000,,189.900000,18.100000,13.500000,8.900000,61,15.300000,20.700000,5.700000,15.600000,13.400000,12.400000,18,9.300000,20.100000,22.100000,15.100000,23.400000,1.400000,2.400000,17.600000,12.300000,69.200000,7.600000,19.200000,17.100000,51.900000,17.800000,3372
2019/05/21 09:00:00+00,,47.200000,29.100000,105,111.600000,67.600000,6.900000,11.600000,95.800000,126.400000,,7.500000,,168.800000,9.700000,12.900000,8.800000,43.700000,10.800000,11.200000,4.800000,6.600000,9.200000,7,9,7.700000,10.800000,18.600000,13.300000,20.800000,0.900000,2.300000,13.400000,7.800000,38.500000,5.400000,8.900000,13.300000,33.500000,11.100000,3373
2019/05/21 10:00:00+00,,39.200000,15.800000,83.900000,89.300000,63.700000,2.400000,1.900000,109.600000,74.900000,,2.700000,,109.500000,3.100000,7.200000,5.900000,41.600000,6.400000,3.100000,3.100000,3.100000,9.500000,,6.700000,,8.300000,9.400000,7.100000,10.500000,1.300000,1.400000,3.100000,3.900000,25.600000,3.500000,2.600000,8.100000,12.500000,6.100000,3374
2019/05/21 11:00:00+00,,35.100000,20.700000,70,89.100000,32.600000,1.200000,0.800000,93.900000,91.600000,,1.700000,19.600000,99.100000,1.800000,2.600000,2.500000,25.200000,5.600000,1.500000,2.600000,1.400000,4.900000,,5,,5.300000,5.400000,2.700000,5.300000,1.200000,0.700000,2.600000,3,12.800000,2.100000,2.300000,4.100000,11,3.200000,3375
2019/05/21 12:00:00+00,,40.100000,20.900000,77.100000,85.100000,27,3.100000,1,102.700000,103.700000,,0.800000,80.200000,107.400000,0.900000,2.400000,1.300000,34.200000,3,1.300000,1.400000,0.400000,4.600000,,3.300000,,3.600000,4.500000,1.100000,4,1.600000,0.800000,2.800000,7.300000,16.200000,1.700000,1.900000,2.600000,16.400000,3,3376
2019/05/21 13:00:00+00,,17.100000,25.500000,79.100000,87.100000,15,2.900000,1.700000,161.200000,123.100000,,1.100000,71.200000,130.900000,1.500000,1.300000,1.300000,34.500000,2.800000,2.200000,2.200000,0.300000,3.200000,,2,1.900000,4.600000,10.500000,1.500000,4.700000,0.800000,0.200000,2.200000,5.500000,62.800000,1.100000,1.600000,2.900000,23,2.900000,3377
2019/05/21 14:00:00+00,,,14.600000,107.900000,83.400000,25.100000,0.900000,0.800000,193.400000,97.100000,,1.300000,203,159.500000,1.700000,4.600000,1.800000,50.800000,2.200000,1.900000,1.800000,1.100000,3.300000,,3.500000,3.300000,7.500000,10.400000,2.500000,7.100000,0.600000,0,2.500000,2.400000,24.200000,1.600000,1.800000,3.900000,17.600000,3.100000,3378
2019/05/21 15:00:00+00,,68.100000,19.200000,91,111.100000,11.100000,8.700000,1.100000,101.600000,129.300000,,0.900000,34.700000,116.700000,1.100000,3.600000,0.900000,30.700000,,1.600000,1.400000,1.300000,6.500000,,4.400000,1.100000,8.300000,6,1.600000,4,0.300000,0,2.900000,2.300000,10.700000,1.600000,1.200000,3.900000,17.500000,1.900000,3379
2019/05/21 16:00:00+00,,109,41,127.900000,143.800000,10,2.700000,2.800000,153,218.200000,,1.400000,63.400000,157.300000,0.900000,4.700000,1.100000,35.400000,,3.600000,0.900000,0.300000,5.900000,,2.600000,1.300000,12.700000,3.200000,1.700000,5.800000,0.300000,0.100000,4.200000,2.400000,45.800000,2.900000,1.300000,4.100000,25.400000,2.600000,3380
2019/05/21 17:00:00+00,,67.700000,40.900000,75.200000,147.800000,6.100000,2.700000,3.900000,87.700000,138.900000,,3.300000,36.800000,146.900000,3.300000,7.600000,2.400000,40,,3.200000,1.300000,1.600000,6.800000,,5.300000,2.400000,12.400000,14.600000,3.500000,6.900000,0.700000,0,2.300000,3.400000,25,3.800000,4.700000,6.100000,26,5.700000,3381
2019/05/21 18:00:00+00,,41,26.300000,64.500000,100.500000,3,3,1.300000,81,118.200000,,0.900000,33.500000,117.900000,3.600000,2.300000,1,32.900000,,1.600000,1,3.300000,6.400000,,3.300000,1.300000,5.300000,6.400000,1.600000,4,0.400000,0,2,2.300000,26.200000,2.200000,1.700000,3.800000,18.700000,2.100000,3382
2019/05/21 19:00:00+00,,41.700000,15.500000,47.100000,93.400000,3.500000,0.900000,0.800000,106.600000,103.700000,,1,20.700000,95.700000,1.300000,0.600000,1.400000,17.100000,,1.100000,0.800000,0.300000,4.700000,,1.400000,1,4.800000,4.500000,0.600000,2.300000,0.300000,1.100000,1.700000,2.900000,12.100000,1.100000,1.100000,2.700000,14.700000,1.400000,3383
2019/05/21 20:00:00+00,,30.600000,5.700000,24.200000,86.400000,13.100000,0.900000,0.300000,210.300000,173.900000,,0.900000,35.800000,55,0.600000,0.100000,0.800000,29.800000,,0.700000,0.900000,0,3.600000,,1,1.100000,6.500000,2.500000,0.300000,1.600000,0.200000,1.500000,1,1.600000,6.100000,0.800000,0.700000,2.100000,17.400000,1.200000,3384
2019/05/21 21:00:00+00,,28.800000,7.300000,47,60.800000,11.500000,1.100000,0.200000,170.600000,72,,0.500000,11.300000,68.600000,0.300000,0,0.300000,19.700000,,1.500000,0.800000,0,1.800000,,1.400000,0.900000,10.700000,1.400000,0.400000,2,0.200000,1.300000,0.400000,1.800000,2.300000,0.700000,1.300000,1.500000,8.700000,1.200000,3385
2019/05/21 22:00:00+00,,19.100000,3,60.200000,42.300000,18.500000,0.400000,0.900000,136.700000,55.800000,,0.700000,14.100000,77.300000,1.400000,0,0.700000,15.800000,,0.500000,0.900000,0,3.600000,,1.100000,0.800000,9.700000,0.800000,0.300000,1.900000,0.200000,1.500000,0.700000,1.200000,2,0.800000,1,0.800000,5.700000,1.300000,3386
2019/05/21 23:00:00+00,,25.500000,1.500000,43.600000,27.600000,11.800000,0.900000,0.700000,122.700000,34.300000,,0.500000,21.200000,54.300000,0.900000,0,0.800000,13.200000,,0.900000,1,0,7.500000,,0.500000,0.600000,1.100000,0.800000,0.200000,1.400000,0.200000,0.500000,0.600000,1.300000,1.400000,0.600000,0.800000,1.100000,6.100000,1.200000,3387
2019/05/22 00:00:00+00,,5,2.200000,18.400000,29.300000,16.100000,1.100000,0.800000,136.900000,27.100000,,0.200000,9.100000,13,1.100000,0,0.600000,12.400000,,0.700000,0.500000,0,7.500000,,0.500000,1.200000,1.200000,0.700000,0.300000,1.800000,0.100000,0,0.800000,1,0.200000,0.400000,1,0.200000,6.700000,1.200000,3388
2019/05/22 01:00:00+00,,6.200000,1.800000,9.100000,24.900000,13,1.100000,0.700000,75.400000,39.700000,,0.300000,6.800000,6.300000,0.100000,0,0.700000,12.200000,,0.700000,1.100000,0,20.400000,,0.500000,0.700000,0.400000,0.600000,0.200000,0.600000,0.100000,1.700000,0.400000,1,0.200000,0.400000,0.500000,0.200000,4,1.200000,3389
2019/05/22 02:00:00+00,,12.100000,0.400000,5.900000,52.700000,19.400000,2.700000,0.500000,89,59.500000,,0.200000,9.600000,10.300000,0.200000,0,1.100000,10.300000,,0.600000,0.700000,0,11.900000,,0.700000,4.500000,0.600000,0.500000,0.300000,0.400000,0.200000,0.700000,0.700000,1.400000,2.300000,0.500000,0.700000,0.300000,7.600000,1,3390
2019/05/22 03:00:00+00,,12.400000,1.200000,8,129.100000,36.800000,6.900000,3.700000,131.600000,120.200000,,0.300000,6.700000,13,2.400000,0.300000,0.800000,23,,0.700000,2,0,7.300000,,1,5.100000,0.400000,0.800000,0.400000,1,0.200000,1.400000,1.500000,1.300000,2.700000,0.500000,0.700000,1,9.200000,1.100000,3391
2019/05/22 04:00:00+00,,40,21.300000,11.700000,267.400000,87.700000,14.800000,8.100000,259.500000,246.900000,,0.700000,7.200000,82.600000,6.900000,0.600000,0.800000,30.800000,,4.300000,2.600000,2.700000,20.700000,,0.900000,3.400000,0.500000,1.500000,0.400000,1.900000,0.100000,3.700000,5.200000,1.200000,5.800000,0.800000,2.900000,5,48.500000,1,3392
2019/05/22 05:00:00+00,,86.700000,81.500000,52.700000,380.100000,148.900000,63,20.900000,367.300000,337.500000,,20.400000,14.900000,144.400000,75,4.500000,0.800000,67.600000,,7.200000,28.300000,8.700000,18.900000,,16.200000,37,2.600000,2.800000,1.500000,4.900000,0.500000,2.400000,19.600000,8.200000,44.500000,4.100000,32.800000,20.900000,74.700000,3.200000,3393
2019/05/22 06:00:00+00,,106.100000,100.900000,113.100000,353.300000,25.600000,47.200000,39.400000,301.800000,355.800000,,49.900000,119.600000,210.300000,85.300000,24.500000,0.900000,41,,33.500000,16.500000,25.200000,20.200000,,29.600000,34.900000,7.500000,24.900000,13.500000,58,4,0.500000,94.200000,52.100000,41.700000,9.100000,85.500000,47.400000,104.500000,12.800000,3394
2019/05/22 07:00:00+00,,129.600000,96,140.500000,240.600000,36.800000,15.700000,27.700000,87.800000,273.600000,,66.900000,314.500000,224.200000,40.400000,53.100000,12.900000,41.900000,,52.800000,10.500000,8.800000,22.200000,,45.800000,16.300000,30.300000,26.900000,20.400000,64.700000,4.600000,0.600000,64.500000,35.800000,52.200000,8.100000,59.700000,33.800000,71.400000,40.400000,3395
2019/05/22 08:00:00+00,,91.900000,100.700000,113.300000,115.100000,108.500000,18.100000,35.400000,118.200000,249.100000,,45.200000,500.100000,204.800000,34.100000,23.200000,35.700000,63.200000,,43.100000,4.200000,6.800000,14.100000,,21,10.600000,49.600000,25.900000,22.900000,36.400000,1.100000,0,24,26.900000,87.300000,13.400000,26.800000,18,161.500000,23.400000,3396
2019/05/22 09:00:00+00,,85.600000,41.600000,124.700000,135.700000,146,5.400000,27.800000,92.900000,226.400000,,21.200000,417.200000,155.100000,16.100000,17.100000,15.500000,73.700000,,10.100000,5.900000,9,6.100000,,7,7.900000,14.100000,17.500000,14.800000,29.400000,0.600000,0.300000,30.900000,14.600000,120.200000,6,12.700000,13.200000,81.200000,10.400000,3397
2019/05/22 10:00:00+00,,73.100000,18.400000,79.500000,109,96.700000,3.700000,6.300000,96.100000,134.600000,,12,191.500000,126.500000,6.200000,5.600000,4.500000,32.900000,,5.900000,4.300000,4.300000,6.900000,,3.700000,2.900000,11.500000,15.800000,11.100000,10.900000,0.200000,0.300000,16.500000,8.300000,72.700000,2.300000,11,9.500000,26.800000,3.500000,3398
2019/05/22 11:00:00+00,,53.600000,17.300000,69.100000,133.900000,87.800000,2.100000,3.300000,74.100000,119.100000,,5.300000,51.400000,121.300000,3.500000,3.500000,3.600000,23.200000,,2.100000,2.600000,0.600000,7.600000,,3.400000,1.800000,16.200000,7.100000,5.100000,5.500000,0.200000,0.100000,4.900000,4.800000,42.100000,1.500000,6.100000,5.200000,32,2.600000,3399
2019/05/22 12:00:00+00,,71.100000,14,62.100000,120.400000,116.100000,2.200000,3.900000,95.500000,136.600000,,5.200000,,97.800000,3.400000,3,3.300000,25.600000,,1.900000,2.100000,0,4.600000,,3.400000,1.700000,10.700000,6.900000,2.800000,4.800000,0.100000,0,4.100000,4.800000,39.800000,1.800000,5.700000,6.500000,28.600000,2.600000,3400
2019/05/22 13:00:00+00,,60.900000,15.800000,72,88.300000,70.600000,2.100000,3.300000,70.700000,119.800000,,4.100000,32.600000,72.100000,4,2.400000,3.800000,18.900000,,2.500000,2.800000,0.700000,4.100000,,3.700000,2,2.800000,5.900000,2.400000,4.200000,0.100000,0,3.300000,2.800000,48.600000,1.200000,5.400000,5.500000,32.400000,2.800000,3401
2019/05/22 14:00:00+00,,48.700000,16.400000,113.200000,89.900000,103,2.400000,3.800000,97.900000,105,,3.500000,33.100000,116,4.100000,2.500000,2.700000,19.800000,,1.300000,2.900000,1.300000,4.400000,,3.200000,1.300000,4.100000,5.100000,2.500000,3.900000,0.100000,0,2.500000,2.800000,47.700000,0.900000,4.100000,4.200000,33,1.200000,3402
2019/05/22 15:00:00+00,,34.700000,16.900000,145,98.200000,28.600000,1.600000,2.500000,73.800000,101.400000,,2.600000,33,107.100000,3.700000,4.600000,2.200000,17.700000,,1.300000,2.100000,0.700000,2.900000,,2.300000,1.100000,1.400000,4.100000,1.600000,3.300000,0.100000,0,1.600000,3.200000,63.800000,1.200000,3.900000,2.300000,56.200000,1.200000,3403
2019/05/22 16:00:00+00,,83.200000,21,69.400000,111.900000,117.300000,2,2,72.800000,97.200000,,2.200000,52.500000,116.700000,2,2.400000,2.100000,24.900000,,1,1.700000,1.200000,3.900000,,2.500000,1,3.400000,4.700000,1.100000,3.400000,0.100000,0,1.200000,3.200000,25.500000,1.900000,3.900000,2.800000,36.700000,0.700000,3404
2019/05/22 17:00:00+00,,83.600000,2.300000,113.700000,128.200000,126.800000,1.700000,1.900000,82.100000,86.800000,,2,68,89.200000,1.100000,1.700000,1.200000,26.400000,,0.700000,1.100000,0.400000,6.100000,,1.700000,1,2.600000,2.700000,1.200000,2.200000,0.100000,0,1,2.500000,67.400000,1.500000,3.400000,1.700000,60.800000,0.200000,3405
2019/05/22 18:00:00+00,,65.600000,0.900000,133.600000,125.500000,138.800000,2.500000,1.100000,126,54.600000,,1.400000,49.100000,86.300000,1,0.500000,1.200000,9.100000,,0.500000,1,0,4.500000,,2,0.900000,2.100000,1.400000,0.900000,1.100000,0.100000,0,1.200000,2.300000,69.400000,1.200000,2.400000,0.900000,52.200000,0.500000,3406
2019/05/22 19:00:00+00,,31.900000,0.300000,69.200000,115.700000,119.300000,0.500000,1.200000,142.900000,48.400000,,0.600000,20.900000,87.100000,0.700000,0.300000,0.800000,9.200000,,0.400000,1,0,5,,1.300000,0.600000,2.400000,1,0.300000,0.300000,0.100000,0,0.100000,1.600000,67.900000,,1.400000,0.500000,44.400000,0.100000,3407
2019/05/22 20:00:00+00,,53.800000,0.800000,32.500000,80.800000,129,0.300000,0.600000,161.200000,44.800000,,0.400000,15.100000,53.400000,3.200000,0,0.500000,17.700000,,0.200000,0.400000,0,5.100000,,1.300000,0.700000,1.900000,0.400000,0,0.300000,0.100000,0.500000,0.100000,1.100000,18,0.600000,0.700000,0.200000,25.300000,0.100000,3408
2019/05/22 21:00:00+00,,36.100000,1.800000,41.100000,79.900000,97.600000,0.200000,0.600000,141,48.600000,,0.200000,28.600000,50.800000,0.200000,0.400000,1,6.200000,,0.200000,1.600000,0,10.100000,,0.600000,0.600000,13.100000,0.600000,0.100000,1.200000,0.100000,3.900000,0.200000,5,1.900000,0.500000,0.800000,0.900000,4.400000,0.100000,3409
2019/05/22 22:00:00+00,,24.400000,10.800000,42.300000,63.300000,97.500000,0.300000,0.800000,230,75.700000,,0.500000,83.700000,59.900000,0.100000,0.300000,0.700000,3.900000,,2.200000,2.800000,0,8.500000,,1,0.500000,8.100000,0.800000,0.200000,0.200000,0.100000,0,0.900000,1.200000,14.600000,0.500000,1.200000,3.400000,17,1.100000,3410
2019/05/22 23:00:00+00,,25.300000,52,32.200000,63.200000,74.900000,1.500000,1.600000,223.800000,79.900000,,8.100000,89.700000,72.200000,8.600000,0.300000,0.600000,3.300000,,9,4,0,4.800000,,2.700000,0.900000,12.200000,0.900000,0.100000,1.400000,0.100000,0,3.600000,1.500000,14.200000,0.700000,1.200000,3.800000,40.500000,1.600000,3411
2019/05/23 00:00:00+00,,9.300000,10.700000,29,49.500000,45.800000,1.500000,13.600000,206.400000,83.600000,,38,23.400000,56.800000,3.300000,5.500000,0.900000,36.200000,,10.700000,3.300000,0.100000,2.600000,,3.200000,13.100000,27.200000,0.800000,0.300000,1.100000,0.100000,0,7.900000,2.500000,20.200000,1.200000,0.600000,2.900000,23.100000,1.300000,3412
